Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1907,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- RANGAVALI""","""RANGAVALI DOWNSTREAM OF NAVAPUR""","""MAHARASHTRA""",26.5,39,30.7,4,7.2,5.8,7.2,8.1,7.7,168,855,487,2,8,5.2,0.5,5.87,2.75,11,26,19,33,50,39
2127,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- DENWA""","""DENWA NEAR SARNI, ROAD BRIDGE""","""MADHYA PRADESH""",36,38,37.3,5.3,8.9,7.5,7.3,8.2,7.8,330,1040,521,1,3.6,2.2,0,12.9,3.4,12,12,12,30,1600,647
2155,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PURNA""","""PURNA A/C MORNA, NANDURA VILL.""","""MAHARASHTRA""",20,25,21.9,2.7,6.4,5.2,6.5,8.4,7.8,537,1890,995,3.6,12,6.6,0.17,12.85,3.25,26,240,116,90,500,346
2652,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- AMRAVATI""","""AMRAVATI DOWNSTREAM DONDAICHA, DHULE""","""MAHARASHTRA""",27,37,29.3,4.8,7.1,6.2,7.1,8.1,7.5,176,937,520,2.2,10,5,0.27,5.54,3.03,14,22,17,33,60,51
2658,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- BORI""","""BORI DOWNSTREAM OF AMALNER, JALGAON""","""MAHARASHTRA""",26.5,36.5,31.4,5.4,7.2,6.4,7.2,8.4,7.6,174,890,507,2.2,8,4,0.25,3.82,2.47,17,22,20,40,150,68
2659,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- BURAI""","""BURAI BEFORE CONFLUECE TO TAPI, MUKUDAS, DHULE""","""MAHARASHTRA""",24.5,39,28.4,4.7,7.2,6.2,7.1,8.1,7.6,163,921,510,2.6,8,4.8,0.33,5.43,3.51,17,40,26,30,70,53
2666,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- GOMAI""","""GOMAI DOWNSTREAM OF SHAHADA, DHULE""","""MAHARASHTRA""",25.5,38,29.4,4.2,7.4,6.1,7.2,7.9,7.5,175,890,540,2,8,5.1,0.58,4.6,2.84,9,50,22,34,150,69
2667,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- HIWARA""","""HIWARA DOWNSTREAM OF PACHORA,JALGAON""","""MAHARASHTRA""",27.4,35.4,31.1,5.4,7.4,6.5,7.1,8.5,7.6,175,988,561,2,8,3.7,0.29,3.7,2.28,12,110,35,22,350,96
2674,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- MOR""","""MOR NEAR PADALSHE, JALGAON""","""MAHARASHTRA""",27.5,37,31.3,5,7.2,6.5,7.2,8.5,7.7,174,1016,579,2,7,3.8,0.33,4.2,2.54,17,70,29,30,190,69
2675,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- MORNA""","""MORNA AT DOWNSTREAM OF RAILWAY BRIDGEAT AKOLA.""","""MAHARASHTRA""",22,22,22,4.3,6.1,5.2,7.1,8.6,7.9,541,1512,840,4,6.6,5.7,0,5.28,2.04,30,300,178,140,500,348
2684,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PANZARA""","""PANZARA NEAR PANZARAKAN SSKLTD, PANZARA,DHULE""","""MAHARASHTRA""",26,41,31.6,5.2,7.3,6.3,7.2,8.8,7.7,183,911,568,2,10,4.9,0.29,4.39,2.15,17,60,28,40,170,89
2695,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PEDHI""","""PEDHI NEAR ROAD BRIDGE ATDADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI""","""MAHARASHTRA""",15,24,20.6,1.8,6.3,4.8,7.1,8.9,8.1,596,1880,1182,4,46,11,0.18,3.98,2.41,50,300,164,130,1600,528
2710,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- TITUR""","""TITUR DOWNSTREAM OF CHALISGAON,JALGAON""","""MAHARASHTRA""",27.5,36.5,31.4,5.2,7.3,6.5,7.1,8.5,7.8,174,828,482,2.4,10,4.3,0.25,3.81,1.96,11,27,19,30,60,46
2718,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- WAGHUR""","""WAGHUR AT SAKEGAON B/C TAPIRIVER, JALGAON""","""MAHARASHTRA""",27.5,40,32,3.6,6.9,5.8,7.1,8.7,7.8,169,931,445,2.4,10,4.8,0.31,3.92,2.12,17,26,19,40,70,52
1851,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SIHAWA""","""CHHATTISGARH""",25,33,28.5,7.3,9.3,8.2,7.7,7.8,7.7,143,590,296,NA,NA,NA,0.2,2.4,0.8,220,220,220,11,11,11
1264,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT RUDRI UPSTREAM AT DHAMTORI RESERVOIR""","""CHHATTISGARH""",25,33,28.8,7.3,8.5,7.8,7.4,7.8,7.6,140,614,347,NA,NA,NA,1,2.3,1.4,NA,NA,NA,33,300,101
1099,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT UPSTREAM OF RAJIM""","""CHHATTISGARH""",22,33,28.7,6.8,8.4,7.7,7.3,7.9,7.7,261,716,372,NA,NA,NA,1,2.5,1.4,NA,NA,NA,24,500,158
1852,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT ARRANG, RAIPUR""","""CHHATTISGARH""",26,34,30.3,6.7,8.5,7.6,7.4,7.8,7.7,242,672,392,NA,NA,NA,1.3,2.3,1.6,350,350,350,33,40,37
1100,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT KHARAD""","""CHHATTISGARH""",24,33,29,6.4,7.5,6.9,7.5,8.5,7.7,186,366,233,1.3,1.4,1.4,1.39,2.7,2.07,NA,NA,NA,12,20,15
1282,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SHEORINARAYANVILLAGE""","""CHHATTISGARH""",25,33,29,7.1,7.3,7.2,7.5,7.5,7.5,265,375,320,1.4,1.4,1.4,2.33,2.69,2.51,NA,NA,NA,17,18,18
1467,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI A/C WITH RIVER MAND""","""CHHATTISGARH""",24,33,28.4,6.7,8,7.1,7.5,8.5,8,90,284,213,1.1,1.3,1.2,1.3,1.68,1.48,NA,NA,NA,10,22,18
1101,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT INTERSTATE BOUNDRY""","""CHHATTISGARH""",24,32,27.2,7.1,7.4,7.3,7.4,7.7,7.5,248,301,272,0.9,1.6,1.2,1.16,1.93,1.26,NA,NA,NA,43,240,127
1281,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT HIRAKUD RESERVOIR""","""ORISSA""",24,32,27.2,5.8,9.4,7.6,7.4,8.3,7.9,120,261,189,0.9,2,1.4,0.03,5.71,0.92,330,1500,1015,700,4300,1937
1270,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SAMBALPUR UPSTREAM""","""ORISSA""",24,34,27,5.9,9.4,7.5,7.2,8.3,7.8,130,305,199,0.8,2.1,1.5,0.01,0.49,0.18,310,5400,1329,700,9200,2415
1271,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SAMBALPUR DOWNSTREAM""","""ORISSA""",22,31,26.6,5.3,9.6,6.8,7.2,8.2,7.8,121,333,238,0.6,3.3,2.5,0.02,1.3,0.51,2100,92000,26925,4300,160000,45192
2405,""" WATER QUALITY OF RIVER- MAHANADI""","""SAMBHALPUR FDS AT HUMA""","""ORISSA""",20,30,25.9,6.3,9.1,7.5,7.5,8.4,8,139,272,186,1,2.9,1.9,0.01,0.68,0.22,140,13000,3184,700,26000,5181
1272,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI DOWNSTREAM (AFTER CONFL. WITH R.ONG SONEPUR UPSTREAM)""","""ORISSA""",20,31,26.4,5.3,9.4,7.3,7.6,8.4,7.9,148,285,203,0.7,2.1,1.3,0.02,1.58,0.39,230,2100,819,630,4300,1616
1274,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI A/C R.TEL (SONEPUR DOWNSTREAM)""","""ORISSA""",20,32,27,4.9,9.8,7.2,7.5,8.4,8,173,344,237,0.8,2.8,1.8,0.02,1.03,0.34,700,2800,1332,1100,9200,2625
1275,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT TIKARPADA""","""ORISSA""",22,31,27,5.6,9.3,7.3,7.1,8.4,8,122,261,188,0.8,2.4,1.5,0.06,0.47,0.19,460,4300,1578,580,8400,3293
1276,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT NARSINGHPUR""","""ORISSA""",18,33,25.9,6.3,9.3,7.8,7.7,8.4,8,153,256,202,0.6,1.8,1.3,0.14,3.58,0.66,220,1500,763,260,2800,1508
1277,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT CUTTACK UPSTREAM""","""ORISSA""",20,32,28.5,5.2,10.5,8.1,7.1,8.5,8,142,304,198,0.7,2.4,1.4,0.01,2.06,0.49,140,1400,475,140,1700,1023
1278,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT CUTTACK DOWNSTREAM""","""ORISSA""",21,34,29.8,6,8.4,7.4,7.5,8.4,8,141,295,197,1.8,3.6,2.4,0.06,3.3,0.59,1100,160000,25475,1100,160000,35583
2409,""" WATER QUALITY OF RIVER- MAHANADI""","""CUTTACK FDS (SERUA) ATSANKHATRASA""","""ORISSA""",19,32,27.3,5.7,9.9,7.5,7.4,8.4,8,143,364,210,1.3,3.3,2.2,0.06,2.11,0.48,310,7900,2846,310,13000,5018
2406,""" WATER QUALITY OF RIVER- MAHANADI""","""MUNDALI(WATER INTAKE POINT OFBHUBANESWAR CITY""","""ORISSA""",20,32,27.7,5.9,9.5,7.6,7.4,8.4,8,142,255,202,1,2.9,1.4,0.1,0.74,0.35,78,2200,975,170,3500,1718
2404,""" WATER QUALITY OF RIVER- MAHANADI""","""POWER CHANNEL DOWNSTREAM NEAR BURLA""","""ORISSA""",24,34,27.3,5.1,8.2,6.7,7.6,8.4,7.9,126,244,184,1,2.3,1.7,0.02,4.38,0.69,80,940,412,80,1700,829
2407,""" WATER QUALITY OF RIVER- MAHANADI""","""PARADEEP UPSTREAM (BEFORE INDUSTRIAL ACTIVITY AT PARADEEP)-(ESTUARINE ZONE)""","""ORISSA""",22,36,28.1,6.2,9.4,7.5,7.6,8.4,8,166,13190,2453,0.6,2.1,1.3,0.21,3.19,0.78,700,3100,1524,700,7000,3017
1639,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT PARADEEPDOWNSTREAM-(ESTUARINE ZONE)""","""ORISSA""",22,35,28.1,6,7.9,6.8,7.7,8.3,8,1275,39670,23242,0.7,3,2.1,0.25,3.87,1.4,80,13000,1893,80,54000,6148
1107,"""WATER QUALITY OF TRIBUTARY STREAMS- SEONATH""","""SEONATH AT UPSTREAM RAJNANDGAON""","""CHHATTISGARH""",18,31,22.8,7.2,8.1,7.5,7.4,7.6,7.5,309,332,320,1.1,2.1,1.5,0.38,0.62,0.49,270,270,270,120,2400,658
1845,"""WATER QUALITY OF TRIBUTARY STREAMS- SEONATH""","""SEONATH RIVER WATER SUPPLYWELL, DURG.""","""CHHATTISGARH""",21,31,24.3,7.3,7.7,7.5,7.3,7.5,7.4,321,338,329,1.4,1.9,1.6,0.4,0.4,0.4,NA,NA,NA,210,2400,828
1266,"""WATER QUALITY OF TRIBUTARY STREAMS- SEONATH""","""SEONATH AT SHIMGA A/C KHAROON""","""CHHATTISGARH""",25,30,28.8,7.4,7.8,7.6,7.2,7.9,7.6,228,674,389,NA,NA,NA,0.2,2.2,1.2,NA,NA,NA,11,300,106
1265,"""WATER QUALITY OF TRIBUTARY STREAMS- KHAROON""","""KHAROON AT RAIPUR UPSTREAM""","""CHHATTISGARH""",24,34,29.5,7.2,8.7,8.1,7.7,7.8,7.7,240,610,344,NA,NA,NA,1.1,2.2,1.4,NA,NA,NA,30,240,85
1847,"""WATER QUALITY OF TRIBUTARY STREAMS- KHAROON""","""KHAROON RIVER B/C KHAPRI DRAIN,DURG, RAIPUR ROAD BRIDGE""","""CHHATTISGARH""",21,30,24,7.3,7.9,7.6,7.4,7.6,7.5,318,339,330,1.4,1.9,1.6,0.3,0.5,0.5,NA,NA,NA,210,2400,820
1846,"""WATER QUALITY OF TRIBUTARY STREAMS- KHAROON""","""KHAROON RIVER A/C KHAPRI DRAIN""","""CHHATTISGARH""",21,30,23.8,7.1,7.8,7.5,7.5,7.6,7.5,325,347,336,1.6,2.2,1.9,0.5,0.6,0.6,NA,NA,NA,240,2400,995
1853,"""WATER QUALITY OF TRIBUTARY STREAMS- KHAROON""","""KHAROON RIVER BUNDRI, RAIPUR""","""CHHATTISGARH""",24,34,29.5,7.1,8.5,7.7,7.8,7.9,7.8,196,632,333,NA,NA,NA,1.2,2.1,1.5,240,240,240,27,50,41
1105,"""WATER QUALITY OF TRIBUTARY STREAMS- HASDEO""","""HASDEO AT UPSTREAM KORBA""","""CHHATTISGARH""",25.1,27,26.3,5.5,6.9,6.4,7.1,7.2,7.1,NA,NA,NA,0.9,2.3,1.4,1.05,1.57,1.31,NA,NA,NA,70,230,122
1106,"""WATER QUALITY OF TRIBUTARY STREAMS- HASDEO""","""HASDEO AT UPSTREAM OF CHAMPA""","""CHHATTISGARH""",24,34,28.9,6.3,7.5,6.9,7.5,8.5,7.9,176,274,236,1.4,1.8,1.6,1.39,2.05,1.73,NA,NA,NA,7,23,16
1849,"""WATER QUALITY OF TRIBUTARY STREAMS- KELO""","""KELO RIVER UPSTREAM OF RAIGARH""","""CHHATTISGARH""",24,32,27.3,7.1,7.5,7.3,7.4,7.6,7.5,247,292,266,1.1,1.9,1.4,1.17,1.29,1.22,NA,NA,NA,64,240,153
1850,"""WATER QUALITY OF TRIBUTARY STREAMS- KELO""","""KELO RIVER DOWNSTREAM OF RAIGARH""","""CHHATTISGARH""",24,32,27.3,7,7.3,7.2,7.5,7.8,7.6,258,298,278,1.6,2.8,2.1,1.19,1.36,1.26,NA,NA,NA,120,460,276
1267,"""WATER QUALITY OF TRIBUTARY STREAMS- IB""","""IB AT SUNDARGARH, ORISSA""","""ORISSA""",23,35,28.9,5.3,8.7,7.4,7.4,8.3,7.9,82,183,144,0.5,2.6,1.5,0.02,2.12,0.39,68,1700,624,140,17000,2353
1268,"""WATER QUALITY OF TRIBUTARY STREAMS- IB""","""IB AT JHARSUGUDA (INTAKE)""","""ORISSA""",22,32,27.3,5.4,9,7.3,6.8,8.4,7.8,96,206,146,0.8,2.5,1.5,0,1.48,0.34,130,13000,2367,220,17000,4088
1300,"""WATER QUALITY OF TRIBUTARY STREAMS- IB""","""IB AT RAJ NAGAR UPSTREAM""","""ORISSA""",20,33,27.5,5.7,9.1,7.5,7.3,8.3,7.9,95,228,157,1,2.2,1.4,0.01,1.19,0.25,110,1400,711,700,2800,1439
1269,"""WATER QUALITY OF TRIBUTARY STREAMS- IB""","""IB AT BRAJRAJNAGAR (INTAKE) DOWNSTREAM""","""ORISSA""",20,32,27.5,5.9,9.6,7.5,7.4,8.3,8,90,288,162,1.2,2.4,1.8,0.02,1.57,0.42,110,3100,1288,790,6300,2728
2403,"""WATER QUALITY OF TRIBUTARY STREAMS- BHEDEN""","""BHEDEN B/C WITH IB RIVER""","""ORISSA""",18,31,25.9,5,9.7,7.4,7.2,8.2,7.8,115,393,249,0.7,2.4,1.6,0.01,1.24,0.43,130,790,297,230,1400,683
1279,"""WATER QUALITY OF TRIBUTARY STREAMS- KUAKHAI""","""KUAKHAI AT BHUBANESWAR UPSTREAM""","""ORISSA""",23,35,29.1,5.3,8.8,7,7.1,8.2,7.7,167,256,202,1.6,2.8,2.1,0.06,7.05,1.29,200,11000,2958,790,17000,6316
1280,"""WATER QUALITY OF TRIBUTARY STREAMS- KUAKHAI""","""KUAKHAI AT BHUBANESWAR DOWNSTREAM""","""ORISSA""",26,35,29.8,5.2,11,6.7,7.1,8,7.5,156,348,251,2.2,6.5,4,0.06,7.46,3.19,4600,54000,16342,7900,92000,25058
2410,"""WATER QUALITY OF TRIBUTARY STREAMS- KUAKHAI""","""KUAKHAI AT BHUBANESWAR FUPSTREAM""","""ORISSA""",23,34,29.1,7,10.3,8.8,7.4,8.2,7.9,129,248,191,1,2.4,1.8,0.01,1.09,0.29,70,1400,478,70,2100,932
2411,"""WATER QUALITY OF TRIBUTARY STREAMS- DAYA""","""DAYA AT BHUBANESWAR FDOWNSTREAM ( 2 KM""","""ORISSA""",25,36,29,5.1,8,6.4,7.2,8.2,7.6,175,365,261,1.2,4.8,3.4,0.06,6.51,2.39,2300,35000,8536,3300,54000,13327
1301,"""WATER QUALITY OF TRIBUTARY STREAMS- KATHAJODI""","""KATHAJODI AT CUTTACK DOWNSTREAM""","""ORISSA""",20,33,27.5,6,9,7.4,7.6,8.3,8.1,131,286,201,2.4,3.9,3.1,0.05,3.2,0.54,14000,160000,42667,22000,160000,61333
2412,"""WATER QUALITY OF TRIBUTARY STREAMS- SANKHA""","""SANKHA UPSTREAM ( DOWNSTREAM OF MANDIRA DAM)""","""ORISSA""",23,30,25.7,5.5,9.1,7.3,7.2,8.3,7.7,100,381,159,0.7,2.8,1.6,0.02,8.2,1.51,210,24000,2466,630,54000,5515
2408,"""WATER QUALITY OF TRIBUTARY STREAMS- TEL""","""TEL RIVER""","""ORISSA""",20,32,27.1,6.1,9.9,7.7,7.4,8.3,8,146,300,201,1.1,2.3,1.7,0.04,2.62,0.51,230,1300,784,700,2400,1453
1640,"""WATER QUALITY OF TRIBUTARY STREAMS- BIRUPA""","""BIRUPA AT CHOUDWAR""","""ORISSA""",20,35,27.8,5.9,9.5,7.3,7.6,8.3,8,163,395,216,1,2.4,1.7,0.11,1.67,0.63,330,13000,2781,28,17000,5163
1037,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT UPSTREAM PANPOSH""","""ORISSA""",23,32,26.3,5.5,8.6,7.1,7.1,8.1,7.7,94,228,143,0.6,1.8,1.2,0.06,6.79,1.19,790,7900,1848,1300,13000,3492
1038,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT DOWNSTREAM PANPOSH""","""ORISSA""",22,34,26.3,5,7.8,6.4,6.7,7.8,7.4,133,458,296,3,6.6,4.7,0.18,9.72,4.15,1700,35000,8892,3500,54000,18450
1302,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT ROURKELA DOWNSTREAM""","""ORISSA""",20,34,26.1,5.4,7.5,6.5,6.8,8.1,7.5,116,393,240,1.8,5.3,3.9,0.04,6.27,2.35,940,35000,5407,1700,92000,12583
2414,"""WATER QUALITY OF RIVER- BRAHMANI""","""ROURKELA FDOWNSTREAM AT BIRITOLA""","""ORISSA""",24,33,27.6,5,8,6.8,7.1,8.2,7.7,93,354,205,1.2,3.6,2.5,0.3,5.61,1.53,790,13000,3026,1500,22000,5592
1039,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT BONAIGARH""","""ORISSA""",22,34,28.3,5.6,9.9,7.8,7.2,8.3,7.9,99,308,192,0.8,2.8,1.6,0.15,4.35,1.54,790,3100,1443,1400,5800,2825
1040,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT RENGALI""","""ORISSA""",16,36,28.8,5.9,9,7.9,6.9,8.3,7.7,98,272,143,0.6,2.8,1.5,0.05,2.9,0.86,210,2300,813,630,4900,1568
1041,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT SAMAL""","""ORISSA""",15,36,28.2,6.2,8.9,7.4,7.3,8.3,7.8,99,424,177,1.1,2.5,1.8,0.13,1.94,0.59,170,940,525,330,1700,1069
1303,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT TALCHER UPSTREAM""","""ORISSA""",18,33,25.8,6.1,8.8,7.6,7.4,8.2,7.9,98,192,140,1,2.5,1.7,0.04,1.55,0.54,790,2200,1250,1500,4300,2267
2415,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT TALCHER FUPSTREAM (INTAKEWELL OF MCL, TALCHER)""","""ORISSA""",17,35,25.7,6.6,8.3,7.5,7.5,8.3,7.9,101,242,153,1.1,2,1.5,0.01,3.42,0.63,230,1500,702,700,2100,1257
2416,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT TALCHER FDOWNSTREAM""","""ORISSA""",20,37,27.4,6.3,8,7.3,7.4,8.2,7.8,109,218,160,1,2.8,1.8,0.04,1.59,0.57,460,14000,3224,940,21000,5378
1042,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT KAMALANGA""","""ORISSA""",20,36,27.4,6.3,8.7,7.7,7.4,8.3,7.9,101,218,166,1,2.4,2,0.03,2.84,0.6,1100,28000,5642,2100,43000,11075
2417,"""WATER QUALITY OF RIVER- BRAHMANI""","""DHENKANAL DOWNSTREAM, DHENKANAL TOWN""","""ORISSA""",21,29,25.4,6.2,8.8,7.6,7.4,8.4,7.9,106,236,149,0.8,2.8,1.7,0.09,1.8,0.68,1400,35000,5867,2600,54000,10817
1043,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT BHUBAN""","""ORISSA""",23,34,28.7,6,8.8,7.6,7.5,8.4,7.9,115,206,150,1.2,2.6,1.7,0.11,2.35,0.66,1100,13000,2683,2100,24000,5433
2418,"""WATER QUALITY OF RIVER- BRAHMANI""","""KABATABANDHA (BEFORE IMPACT OFINDL ACTIY KALINGANAGAR AREA)""","""ORISSA""",23,35,28.1,5.6,9.5,7.6,7.3,8.4,7.8,97,221,154,1,2.6,1.8,0.05,4.02,0.92,840,8400,2323,1200,15000,5192
1044,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT DHARMASHALA""","""ORISSA""",19,38,26,6.3,9.7,7.8,7.5,8.2,7.9,113,308,176,1.2,2.8,2,0.08,3,0.97,940,11000,3537,1500,17000,6792
1045,"""WATER QUALITY OF RIVER- BRAHMANI""","""BRAHMANI AT PATTAMUNDAI""","""ORISSA""",18,33,27.1,5.6,9.5,7.4,7.4,8.5,8,124,364,203,0.8,2.4,1.7,0.07,0.88,0.31,1700,35000,6133,3500,92000,14717
1036,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL""","""KOEL AT MANOHARPUR AFTERMEETING KOINA RIVER DOWNSTREAM""","""JHARKHAND""",18,30,26.1,7.6,8.2,7.8,7.4,7.8,7.6,164,178,169,0.3,1.1,0.6,0,8.11,4.67,NA,NA,NA,NA,NA,NA
2413,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL""","""KOEL UPSTREAM (A/C RIVER KARO)""","""ORISSA""",23,30,26.2,5.3,9,7.1,7,8.3,7.8,91,291,176,0.6,2.8,1.5,0.13,2.8,0.63,230,17000,1995,580,35000,4178
1033,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KOEL""","""KOEL AT BASIA,DAM UPSTREAM""","""JHARKHAND""",17,29,22.6,6,8.2,7.3,6.6,7.3,6.9,NA,NA,NA,1,6.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2376,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- NORTH KOEL""","""NORTH KOEL UPSTREAM DALTANGANJ""","""JHARKHAND""",16.5,29,24.3,7.3,8.1,7.8,6.6,7.4,7.1,NA,NA,NA,1,3,1.6,NA,NA,NA,150,150,150,750,750,750
2377,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- NORTH KOEL""","""NORTH KOEL DOWNSTREAM BCCL, REHLA""","""JHARKHAND""",16.9,29,24,7.2,8.3,7.7,6.5,7.5,6.9,NA,NA,NA,1,3,1.8,NA,NA,NA,230,280,255,1500,1500,1500
2419,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KHANDITARA""","""KHANDITARA (DOWNSTREAM OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR)""","""ORISSA""",19,38,26,6.7,8.9,8,7.2,8.3,7.9,102,188,140,1.2,2.6,1.9,0.03,1.71,0.5,490,9400,2118,940,14000,3470
2420,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- AUL""","""AUL""","""ORISSA""",23,32,27.8,5.1,8.8,6.9,7.1,8.1,7.7,113,193,152,0.8,2.6,1.5,0.04,1.94,0.54,700,24000,3299,1400,35000,5492
1034,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- SANKH""","""SANKH AT BOLBA""","""JHARKHAND""",19.2,29.5,23.4,6.8,8.4,7.5,7.1,7.5,7.3,NA,NA,NA,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,"""WATER QUALITY OF TRIBUTARY STREAMS OF BRAHMANI- KARO""","""KARO AT LOHOJIMI UPSTREAM""","""JHARKHAND""",17.5,30,23.6,6.7,8,7.4,6.8,7.2,6.9,NA,NA,NA,1,6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,""" WATER QUALITY OF RIVER- BAITARNI ""","""BAITARNI AT JODA""","""ORISSA""",18,31,24.7,5.6,10.3,7.7,7.1,7.9,7.6,93,247,152,0.5,2.5,1.6,0.04,3.98,0.94,230,2200,714,700,4300,1472
1082,""" WATER QUALITY OF RIVER- BAITARNI ""","""BAITARNI AT ANANDPUR""","""ORISSA""",15,33,27.8,5.6,10.3,7.3,7.3,8.2,7.8,83,288,161,0.6,2.4,1.6,0.02,1.32,0.4,1100,17000,3773,1700,28000,7209
1083,""" WATER QUALITY OF RIVER- BAITARNI ""","""BAITARNI AT JAJPUR""","""ORISSA""",20,36,26.8,6.3,11.9,8,7.4,8.3,8,107,323,183,1.2,3.2,2,0.07,2.51,0.85,1200,24000,5725,350,54000,11871
1084,""" WATER QUALITY OF RIVER- BAITARNI ""","""BAITARNI AT CHANDBALI-(ESTUARINE ZONE)""","""ORISSA""",22,31,27.2,5.4,9.8,6.9,7.3,8.4,7.7,203,15740,7008,0.6,2.8,1.6,0.02,1.91,0.75,940,17000,3712,1700,54000,8858
1085,""" WATER QUALITY OF RIVER- BAITARNI ""","""BAITARNI AT DHAMRA-(ESTUARINE ZONE)""","""ORISSA""",23,30,27.2,5.2,8.5,6.4,7.4,7.9,7.6,204,32540,20369,0.3,3,1.7,0.22,3.08,1.37,140,14000,2728,470,28000,5174
