Job Title,Location,Salary
Excel Homeo Medical Centre Consultant Physician,India,"141,097"
Apollo Health Street A R Physician,India,"375,787"
Govt. Medical College Junior Resident Doctor Department of General Surgery - Monthly,India,"51,427"
Asian Heart Institute and Research Centre Physician Assistant - Monthly Contractor,India,"29,770"
Madras Medical Mission Physician Assistant - Monthly,India,"31,971"
Government of Kerala Veterinary Doctor - Monthly,India,"64,326"
BanasDairy Veterinary Doctor - Monthly,India,"28,430"
Blossom Hospital Consultant Diabetologist &amp; Physician,India,"514,132"
Dr.MANU'S HOMEOPATHY Homeopathy Doctor,India,"175,534"
VS Hospital Junior Doctor Intern - Monthly,India,"8,524"
Levioza Health Care Medical Doctor &amp; Consultant - Monthly Contractor,India,"24,616"
Merck KGaA Medical Affairs Physician,India,"773,302"
Government of India Resident Doctor - Monthly,India,"33,404"
Vardhman Mahavir Medical College Resident Doctor - Contractor,India,"774,587"
Civil Hospital Amdavad Resident Doctor,India,"323,373"
TNMC & Nair Hospital Resident Doctor In Surgery Intern - Monthly,India,"40,059"
Apollo Hospitals Resident Doctor - Monthly,India,"40,498"
